Play_num,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,unique_ID,event_gameID_timenum,HOMEDESCRIPTION,PLAYER1_NAME,PLAYER1_TEAM,PCTIMESTRING,PERIOD,VISITORDESCRIPTION,Score,Score_Margin,OT Game,Home_Win,time_decimals,timenum,scoremargin>10,Timeout,home_time_dummy,visitor_time_dummy,Play_after_timeout,PLAYER1_NAME,Shot Type,Makes,Base Points,Points,FT Made,PLAYER1_TEAM,Distance,Block,Steal,Defensive Player,Defensive Player Team,,,,
516,12,3,752,21800002,516-21800002,21800002-14-3,Durant Free Throw 2 of 2 (27 PTS),Kevin Durant,GSW,00:14,4,,99 - 108,9,No,1,0.0097,14,No,0,0,0,,Kevin Durant,Free Throw,,1,1,,GSW,19,,,,,,,,
517,1,6,753,21800002,517-21800002,21800002-6-6,Green P.FOUL (P3.PN) (Z.Zarba),Draymond Green,GSW,00:06,4,,99 - 108,9,No,1,0.0042,6,No,0,0,0,,Draymond Green,,,0,0,,GSW,,,,,,,,,
518,11,3,755,21800002,518-21800002,21800002-6-3,,Paul George,OKC,00:06,4,MISS George Free Throw 1 of 2,99 - 108,9,No,1,0.0042,6,No,0,0,0,,Paul George,Free Throw,,0,0,,OKC,19,,,,,,,,
519,1,4,756,21800002,519-21800002,21800002-6-4,,,,00:06,4,Thunder Rebound,99 - 108,9,No,1,0.0042,6,No,0,0,0,,,,,0,0,,,,,,,,,,,
520,12,3,757,21800002,520-21800002,21800002-6-3,,Paul George,OKC,00:06,4,George Free Throw 2 of 2 (27 PTS),100 - 108,8,No,1,0.0042,6,No,0,0,0,,Paul George,Free Throw,,-1,-1,,OKC,19,,,,,,,,
521,0,13,758,21800002,521-21800002,21800002-0-13,,,,00:00,4,,100 - 108,8,No,1,0,0,No,0,0,0,,,,,0,0,,,,,,,,,,,
435,5,2,636,21800003,435-21800003,21800003-175-2,Williams BLOCK (4 BLK),Eric Bledsoe,MIL,02:55,4,MISS Bledsoe 3' Layup,108 - 104,-4,No,0,0.1215,175,No,0,0,0,,Eric Bledsoe,Layup,,0,0,,MIL,3,,,,,,,,
436,0,4,638,21800003,436-21800003,21800003-170-4,,Eric Bledsoe,MIL,02:50,4,Bledsoe REBOUND (Off:2 Def:2),108 - 104,-4,No,0,0.1181,170,No,0,0,0,,Eric Bledsoe,,,0,0,,MIL,,,,,,,,,
437,78,2,639,21800003,437-21800003,21800003-168-2,,Eric Bledsoe,MIL,02:48,4,MISS Bledsoe 2' Floating Jump Shot,108 - 104,-4,No,0,0.1167,168,No,0,0,0,,Eric Bledsoe,Jump Shot,,0,0,,MIL,2,,,,,,,,
438,0,4,640,21800003,438-21800003,21800003-168-4,Williams REBOUND (Off:0 Def:7),Marvin Williams,CHA,02:48,4,,108 - 104,-4,No,0,0.1167,168,No,0,0,0,,Marvin Williams,,,0,0,,CHA,,,,,,,,,
439,5,2,641,21800003,439-21800003,21800003-164-2,MISS Walker 3' Layup,Kemba Walker,CHA,02:44,4,Middleton BLOCK (1 BLK),108 - 104,-4,No,0,0.1139,164,No,0,0,0,,Kemba Walker,Layup,,0,0,,CHA,3,,,,,,,,
