game_ID,win,home,timeouts_used,timeouts_available,fouls_committed,fouls_against,points_scored,points_allowed
21800630,0,1,4,4,4,7,24,19
21800630,1,0,2,4,7,4,19,24
21800631,1,1,1,4,5,9,21,25
21800631,0,0,2,2,9,5,25,21
21800632,1,1,1,3,9,4,33,26
21800632,0,0,4,4,4,9,26,33
21800633,1,1,2,3,4,5,23,17
21800633,0,0,3,4,5,4,17,23
21800636,1,1,2,4,8,3,22,21
21800636,0,0,2,4,3,8,21,22
21800638,0,1,3,3,8,6,23,25
21800638,1,0,3,4,6,8,25,23
21800641,1,1,1,4,8,4,30,21
21800641,0,0,3,4,4,8,21,30
21800642,0,1,2,2,5,7,26,27
21800642,1,0,4,4,7,5,27,26
21800643,1,1,3,4,6,7,23,25
21800643,0,0,3,3,7,6,25,23
21800644,0,1,4,4,11,10,30,26
21800644,1,0,3,4,10,11,26,30
21800648,1,1,3,4,7,10,25,20
21800648,0,0,4,4,10,7,20,25
21800649,1,1,3,4,8,8,32,32
21800649,0,0,2,4,8,8,32,32
21800650,0,1,3,3,7,7,29,27
21800650,1,0,3,4,7,7,27,29
21800661,0,1,3,3,5,4,21,30
21800661,1,0,1,3,4,5,30,21
21800663,1,1,1,3,5,7,37,31
21800663,0,0,3,3,7,5,31,37
21800665,1,1,3,3,2,5,24,11
21800665,0,0,3,3,5,2,11,24
21800668,1,1,2,4,8,8,34,31
21800668,0,0,2,3,8,8,31,34
21800672,1,1,3,4,4,6,33,24
21800672,0,0,3,4,6,4,24,33
21800673,1,0,3,4,4,7,31,20
21800674,0,1,4,4,8,8,23,28
21800674,1,0,1,4,8,8,28,23
21800678,1,0,4,4,9,7,29,36
21800680,0,1,3,4,5,5,19,29
21800680,1,0,3,3,5,5,29,19
21800683,0,1,2,3,6,7,16,30
21800683,1,0,1,4,7,6,30,16
21800689,1,1,2,3,7,6,25,36
21800689,0,0,3,3,6,7,36,25
21800694,1,1,2,4,8,7,24,22
21800694,0,0,2,2,7,8,22,24
21800698,1,1,2,4,7,5,20,31
21800698,0,0,1,2,5,7,31,20
21800704,1,1,2,4,4,5,28,25
21800704,0,0,4,4,5,4,25,28
21800706,1,1,3,4,5,9,26,31
21800706,0,0,4,4,9,5,31,26
21800708,1,1,4,4,5,7,25,24
21800708,0,0,2,3,7,5,24,25
21800710,0,1,3,3,7,9,32,26
21800710,1,0,3,4,9,7,26,32
21800711,1,1,2,3,2,5,26,24
21800711,0,0,3,3,5,2,24,26
21800714,0,1,4,4,5,5,24,19
21800714,1,0,1,4,5,5,19,24
21800715,1,1,1,4,7,11,26,28
21800715,0,0,4,4,11,7,28,26
21800717,1,1,1,4,3,5,24,34
21800717,0,0,3,3,5,3,34,24
21800720,0,1,1,2,4,3,22,20
21800720,1,0,3,4,3,4,20,22
21800722,0,1,3,3,7,8,24,20
21800722,1,0,2,4,8,7,20,24
21800723,0,1,2,2,7,5,19,26
21800723,1,0,3,4,5,7,26,19
21800725,0,1,3,3,8,7,25,22
21800725,1,0,2,3,7,8,22,25
21800726,1,1,3,4,7,7,18,16
21800726,0,0,1,3,7,7,16,18
21800727,1,1,3,4,3,4,32,12
21800727,0,0,3,4,4,3,12,32
21800729,1,1,1,4,4,5,16,33
21800729,0,0,4,4,5,4,33,16
21800732,0,1,3,4,9,4,27,25
21800732,1,0,2,4,4,9,25,27
21800735,0,1,4,4,4,3,22,25
21800735,1,0,2,3,3,4,25,22
21800737,1,1,2,4,3,5,29,16
21800737,0,0,3,4,5,3,16,29
21800738,1,1,2,3,6,10,29,33
21800738,0,0,2,3,10,6,33,29
21800739,0,1,4,4,9,5,32,38
21800739,1,0,1,4,5,9,38,32
21800741,0,1,3,3,6,6,27,25
21800741,1,0,2,4,6,6,25,27
21800747,0,1,4,4,7,7,15,35
21800747,1,0,2,2,7,7,35,15
21800748,0,1,3,4,7,10,35,29
21800748,1,0,2,3,10,7,29,35
21800752,1,1,2,4,7,11,39,38
21800752,0,0,3,4,11,7,38,39
21800754,1,1,3,4,2,6,30,33
21800754,0,0,2,2,6,2,33,30
21800761,0,1,3,3,5,6,24,19
21800761,1,0,2,4,6,5,19,24
21800764,1,1,2,4,8,6,30,19
21800764,0,0,3,4,6,8,19,30
21800765,1,1,0,4,4,8,38,27
21800765,0,0,4,4,8,4,27,38
21800767,1,1,2,4,5,9,32,25
21800767,0,0,3,3,9,5,25,32
21800768,0,1,1,2,7,4,18,18
21800768,1,0,2,4,4,7,18,18
21800770,1,1,3,4,7,8,30,19
21800770,0,0,3,3,8,7,19,30
21800783,0,1,4,4,2,2,18,18
21800783,1,0,3,4,2,2,18,18
21800784,0,1,2,3,6,5,24,32
21800784,1,0,1,3,5,6,32,24
21800785,1,1,3,4,4,7,29,29
21800785,0,0,3,3,7,4,29,29
21800788,1,1,2,4,11,10,35,36
21800788,0,0,3,4,10,11,36,35
21800791,0,1,1,1,4,7,40,38
21800791,1,0,2,4,7,4,38,40
21800793,0,1,3,3,7,10,33,26
21800793,1,0,4,4,10,7,26,33
21800796,0,1,4,4,5,5,23,33
21800796,1,0,2,3,5,5,33,23
21800797,0,1,2,3,3,5,17,18
21800797,1,0,0,4,5,3,18,17
21800801,1,1,2,3,1,7,23,23
21800801,0,0,4,4,7,1,23,23
21800802,1,1,2,4,10,11,34,30
21800802,0,0,3,3,11,10,30,34
21800803,0,1,2,3,9,4,29,24
21800803,1,0,2,4,4,9,24,29
21800804,1,1,4,4,9,8,27,43
21800804,0,0,2,2,8,9,43,27
21800807,1,1,1,4,3,6,25,22
21800807,0,0,3,3,6,3,22,25
21800814,0,1,3,4,5,7,35,30
21800814,1,0,3,3,7,5,30,35
21800818,1,1,2,4,4,8,34,28
21800818,0,0,3,3,8,4,28,34
21800823,1,1,4,4,5,6,32,29
21800823,0,0,3,3,6,5,29,32
21800824,1,1,1,4,2,9,27,13
21800824,0,0,4,4,9,2,13,27
21800828,0,1,4,4,8,7,30,30
21800828,1,0,1,4,7,8,30,30
21800832,0,1,3,4,10,6,22,27
21800832,1,0,3,4,6,10,27,22
21800834,1,1,1,2,9,5,24,9
21800834,0,0,1,4,5,9,9,24
21800838,1,1,3,4,7,8,30,36
21800838,0,0,4,4,8,7,36,30
21800839,1,1,2,4,5,4,18,25
21800839,0,0,3,3,4,5,25,18
21800842,1,1,2,4,7,4,35,33
21800842,0,0,2,3,4,7,33,35
21800848,1,1,3,4,7,7,17,18
21800848,0,0,3,3,7,7,18,17
21800849,0,1,3,4,8,8,35,35
21800849,1,0,4,4,8,8,35,35
21800850,0,1,1,3,3,1,21,14
21800850,1,0,3,4,1,3,14,21
21800852,1,1,0,4,4,8,34,24
21800852,0,0,3,4,8,4,24,34
21800854,0,1,3,4,9,3,18,30
21800854,1,0,2,4,3,9,30,18
21800860,1,1,3,3,7,6,27,27
21800860,0,0,3,4,6,7,27,27
21800861,1,1,1,4,2,3,34,27
21800861,0,0,3,4,3,2,27,34
21800866,1,1,1,3,4,8,30,33
21800866,0,0,3,4,8,4,33,30
21800868,1,1,2,4,3,9,33,27
21800868,0,0,3,3,9,3,27,33
21800870,1,1,2,3,2,5,26,29
21800870,0,0,3,4,5,2,29,26
21800871,1,1,1,3,9,9,36,32
21800871,0,0,4,4,9,9,32,36
21800872,1,1,1,3,5,13,28,16
21800872,0,0,3,4,13,5,16,28
21800875,0,1,3,3,4,6,27,21
21800875,1,0,3,3,6,4,21,27
21800876,1,1,4,4,5,6,32,26
21800876,0,0,3,3,6,5,26,32
21800877,0,1,3,4,6,5,27,25
21800877,1,0,3,3,5,6,25,27
21800879,0,1,4,4,10,5,20,29
21800879,1,0,3,4,5,10,29,20
21800883,1,1,3,4,10,16,34,25
21800883,0,0,3,4,16,10,25,34
21800884,0,1,3,3,5,4,31,27
21800884,1,0,3,4,4,5,27,31
21800885,1,1,1,3,7,7,30,23
21800885,0,0,4,4,7,7,23,30
21800890,0,1,2,4,10,7,33,25
21800890,1,0,2,3,7,10,25,33
21800901,0,1,4,4,6,5,34,40
21800901,1,0,2,2,5,6,40,34
21800903,1,1,1,3,4,4,24,26
21800903,0,0,2,4,4,4,26,24
21800904,1,1,4,4,6,11,23,24
21800904,0,0,2,2,11,6,24,23
21800905,1,1,3,4,9,6,19,25
21800905,0,0,1,2,6,9,25,19
21800906,0,1,3,3,6,5,27,18
21800906,1,0,3,4,5,6,18,27
21800908,1,1,2,3,4,8,30,13
21800908,0,0,3,4,8,4,13,30
21800911,0,1,1,4,6,3,19,28
21800911,1,0,3,4,3,6,28,19
21800915,1,1,4,4,7,5,26,33
21800915,0,0,3,4,5,7,33,26
21800916,0,1,4,4,8,7,33,34
21800916,1,0,2,4,7,8,34,33
21800918,1,1,1,4,7,8,31,23
21800918,0,0,3,4,8,7,23,31
21800919,1,1,1,4,8,7,28,22
21800919,0,0,3,3,7,8,22,28
21800921,1,1,2,4,5,7,30,28
21800921,0,0,4,4,7,5,28,30
21800922,1,1,2,4,4,9,31,25
21800922,0,0,4,4,9,4,25,31
21800923,1,1,2,4,1,6,33,16
21800923,0,0,4,4,6,1,16,33
21800924,0,1,4,4,13,7,21,40
21800924,1,0,3,4,7,13,40,21
21800925,1,1,1,3,4,7,35,20
21800925,0,0,3,4,7,4,20,35
21800926,0,1,3,3,7,8,34,30
21800926,1,0,3,4,8,7,30,34
21800927,0,1,3,4,5,8,24,24
21800927,1,0,4,4,8,5,24,24
21800930,1,1,2,4,9,8,26,33
21800930,0,0,3,4,8,9,33,26
21800933,0,1,2,3,5,6,27,29
21800933,1,0,3,4,6,5,29,27
21800936,0,1,4,4,5,4,25,34
21800936,1,0,1,2,4,5,34,25
21800938,0,1,3,4,9,6,27,27
21800938,1,0,2,3,6,9,27,27
21800941,0,1,2,3,4,8,19,24
21800941,1,0,2,4,8,4,24,19
